Text1,Text2,Type,Lang,Scores,e5_mean
two men look over cliff near the beach.,People are hanging out at a beach side cafe.,train,eng,0.41,0.8181946277618408
Donald Trump isn't afraid to roast everyone.,@AnnCoulter @realDonaldTrump The Media will try to discredit him. Democrats and GOP will attack him. America will Stand with him.,train,eng,0.41,0.7870780229568481
"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief",Trump wasn't precise but he's no bigot. employs thousands. contributed millions to charity. And loves America.not corrupt.capable,train,eng,0.41,0.8262250423431396
@AzzarelliJim Not so great for the women you want to force to give birth against their wills. #rapeculture,"@mrprolife Complications come with all types of medical procedures, doesn't mean procedure itself should be banned. #DealWithIt",train,eng,0.41,0.8820523023605347
He looked melancholic and walked quietly away.,"So I smiled, then frowned again and walked away.",train,eng,0.41,0.8450008630752563
Calusa Indians founded the settlement and called it Manataca .,Erik the Red founded the first Nordic settlement in Greenland .,train,eng,0.41,0.7961533069610596
"The Goose Girl might be based on a fairy tale, but that isn't likely.",I loves me some retold fairy tales.,train,eng,0.41,0.7980764508247375
"I wanted the kids to be more empowered, but it was more realistic (as far as a magic candy shop can be) this way.","A Candy Shop opens up in town, but it isn't a normal candy shop.",train,eng,0.41,0.841658890247345
A boy jumps from the top of a blue plastic slide.,An opposing wrestler is jumping off the top ropes onto another wrestler.,train,eng,0.41,0.8127185106277466
an indian man in a white costume is talking to three women in colorful saris.,Three women wearing black vests and gray shirts are talking outside of a building.,train,eng,0.41,0.8507726788520813
The slowly growing feelings between Peter and Alice were a really nice touch.,Alice ends up being sent to Wonderland to collect an army.,train,eng,0.41,0.8144668340682983
the clitoris and nipples because they are the most sensitive,"clitoris but before that nipples :p and before that, lips and neck, behind the ears...",train,eng,0.41,0.8701276183128357
"I wrote 'The Art of the Deal,' the number one best selling business book of all time, at least I think","@realDonaldTrump First sentence a must, but he'll NEVER be my President. #Truth will be revealed. He's an Indonesian citizen.",train,eng,0.41,0.7871438264846802
"It's Monday night,do you know where your Hillary supporters are? In Rock Hill at our Amazing Phone bank! Come join!HillaryforSC",@DemocratGuide @Reuters bur #Hlllary just raised 45 million!,train,eng,0.41,0.8386578559875488
But she had loved her more than Wendy expected.,Wendy has an incredible gang around her.,train,eng,0.41,0.8169395923614502
"In contrast to it , the naginata blade is shorter , wider and more curved to the tip .",The angle tint tool has a slightly curved tip that is commonly used in printmaking .,train,eng,0.41,0.82105553150177
@HillaryClinton @WomenintheWorld we need to re-establish a #global system dominated by love and affection have #moral_humane RT,RT @hale_razor:#HillaryAccomplishments 1 of select few people fired 4 being 2 unethical 2 investigate Watergate,train,eng,0.41,0.8400446176528931
"Still, revenues from the extra premiums would not be huge.",How would the extra premiums be collected?,train,eng,0.41,0.827545702457428
I watch the Real World because I like that show!!!,"Laguna Beach, Real World and Road Rules.",train,eng,0.41,0.815036416053772
"This is my favorite quote from the book and an excellent quote about love: ""This is what love is, I thought.",I just can't help but love two characters who enjoy aggravating each other - it may be my favorite dynamic to read.,train,eng,0.41,0.8437525629997253
They shall impose such penalties on a non-discriminatory basis.,"In the future, I will impose the heaviest penalties.",train,eng,0.41,0.8282933831214905
go to dis site from ebay.,The site www.lyrics.com has the lyrics.,train,eng,0.41,0.8051079511642456
@JohnKerry @BALWANIKAPIL @HillaryClinton @StateDept @tomperriello I didn't realize #PayToPlayDiplomacy was such a big hit!,@philadper2014 @LouiseKatina Hillary's New Campaign slogan is: HILLARY - NOTHING TO HIDE BUT THE TRUTH! #tcot #WakeUpAmerica,train,eng,0.41,0.8304288983345032
Are the same people who are red faced and frothing over abortion also against the death penalty? Just wondering... #deathpenalty,"@LifeMattersJrnl Once again, whose body do you have a ""right"" to use w/out consent? Still waiting. #rapeculture",train,eng,0.41,0.8416900634765625
This is # 3 in the Harper Connelly series.,"I think that Harris's Harper Connelly books are better than her Sookie Stackhouse books, but I don't necessarily enjoy them as much.",train,eng,0.41,0.8323155045509338
This made me love Despina so much more than I did already.,"I like Jalal and Despina, but neither of them has enough character development to really pull this off.",train,eng,0.41,0.8348627090454102
"@realDonaldTrump U gonna take this? I hope not! Bullshit from #Univision #NBCUniversal and #Macys. ""Magic of Macy's"" my ass","Donald Trump has me ""L-ing my A O."" This dude is nuts I highly recommend watching the #CNN interview. He is entertaining.",train,eng,0.41,0.8552840948104858
Tell him to go to the local strip club.,I will probably hang out a a local club.,train,eng,0.41,0.864858090877533
A mother and daughter pose in front of a waterfall.,A model poses for a photo shoot inside a luxurious setting.,train,eng,0.41,0.8241267800331116
"Good film, by it on DVD when released!",i dont think its been released on dvd yet!,train,eng,0.41,0.8822852969169617
"okay, helicopter Khui, stop trying to run my life!","So, Liz calls her Khui a Cootie - which I have to say is adorable.",train,eng,0.41,0.833434522151947
Khalid was received by his elder brother Walid bin Walid and was first among the three men to enter Islam .,"Before the early years of Islam Islam Khalid bin Walid , corresponding to a soldier in his youth was notorious in pure Quraysh .",train,eng,0.41,0.8316450119018555
A doctor in an office smiling at the camera.,A man walking underneath a bridge glances at the camera.,train,eng,0.41,0.8097931146621704
"Canada's legal definition of ""human being"" is based on 17th century science. It's time for an update. #ProLifeYouth #cdnpoli",@StevenErtelt @GM_GXPfan My wife had an abortion when she was young She regrets it to this day,train,eng,0.41,0.8146464824676514
Been slacking on my @realDonaldTrump retweets.. had some catching up to do .. #Trumpforpresident,@JebBush and @marcorubio cannot speak their minds b/c they are paid 2 keep things pc. @realDonaldTrump ANSWERS TO NO ONE!,train,eng,0.41,0.8377810120582581
You know what's best for you You know what's best for your happiness You know what's best for your well being,When is abortion a responsible choice? When a woman chooses it to be,train,eng,0.41,0.7815684080123901
A paramedic looks on at a firetruck.,a firetruck fights a fire.,train,eng,0.41,0.8962182998657227
It hurts because it's our fault.,"Apologies, females, but this isn't our fault.",train,eng,0.41,0.8469506502151489
A man with a red and black shirt sells fish.,A male is standing in a river and fishing and is holding a net.,train,eng,0.41,0.8793391585350037
Aileana is a feisty redhead who burns with the thirst for revenge.,"The two have a great friendship and Gavin is the only one who knows Aileana's secret, being a seer and able to see fae himself.",train,eng,0.41,0.8061822056770325
Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright,Kudos to the mentality that believes people who are dumb enough to not use protection are 'mature enough' to take care of a baby.,train,eng,0.41,0.8105688691139221
It is the third busiest station on the network and the busiest without connection to the National Rail service .,"The idea was looked into , but Network Rail own the necessary land and need it for their own expansion plans .",train,eng,0.41,0.7691147923469543
Trump Tower is not on fire. It is The Avery building. The only Trump fire is the one that I hand out when #YoureFired #TrumpRules,THE @realDonaldTrump **MAKING TWO FEES INSTEAD OF ONE** WE NEED A WINNER IN THE WHITE HOUSE AGAIN #MakeAmericaGreatAgain !!,train,eng,0.41,0.8400365710258484
Children are having fun playing in the water and on shore at the beach.,A shirtless guy with blue shorts and a surfboard walking towards the beach water.,train,eng,0.41,0.7886371612548828
EVERYDAY AMERICANS AND THEIR FAMILIES NEED A CHAMPION AND HILLARY WILL BE THAT CHAMPION.,"@HillaryforIA come on, Iowa! For better USA and the ROW",train,eng,0.41,0.8475010395050049
Numerous amounts of buildings surrounding tourists.,A man and a woman pose for the camera with pursed lips.,train,eng,0.41,0.7501270174980164
Several women are gather around a table in a corner surrounded by bookshelves.,A crowd gathers in front of a stand from which a man and two women sell food.,train,eng,0.41,0.824866533279419
"In one case, I didn't understand the mechanics of how Jafar could do something to a certain character - it didn't make sense to me.",*But*--and pay close attention now--*I have to do what [Jafar] says.,train,eng,0.41,0.7911948561668396
@AsaSoltan putting abortion in with choices for women just won my heart over. Yaaaaaas! #shahs,Just owned a woman who works for planned parenthood. #factsonly,train,eng,0.41,0.8548182249069214
Three people sitting on a bus each doing something different.,Three people at are doing high-risk work.,train,eng,0.41,0.782349705696106
Dealing with all the craziness really helped Dez grow as a person.,"Reese and Dez get closer throughout the whole book, but especially during the time right after her change.",train,eng,0.41,0.870274543762207
"(p.399) ""Welcome to Bordertown"" by Ellen Kushner & Terri Windling sets up the premise for the anthology.",And the individual authors of the anthologies used the premise in diverse ways.,train,eng,0.41,0.8188819885253906
"And, there's a good reason he insists on trying 'the shoe' on every maiden in order to find his real love.","I'm baffled by the low ratings, because it's a really good retelling and you'll find mentions of other popular fairytales in there too.",train,eng,0.41,0.797206699848175
I struggle to get into Stephen Kings way of writing.,I recommend The Bazaar of Bad Dreams to all fans of Stephen King.,train,eng,0.41,0.8565590381622314
I cant' relate to the main character; Rudy and that's a big problem.,Teeth is just as much of a complex character as Rudy.,train,eng,0.41,0.8439486026763916
check out this site for more info:,Please check IMDb for information.,train,eng,0.41,0.8590735197067261
"The hurricane caused 3,000 deaths , as well as crop and animal damage .","It caused around 163 deaths , and brought damage throughout the areas it affected .",train,eng,0.41,0.8640514612197876
In 1889 it was raised by the Roman Catholic Church to the double rite of first class .,The Latin Rite or Church is the largest and most widely known of the 22 Rites of the Catholic Church .,train,eng,0.41,0.8370652794837952
"Clancy has generally been regarded as a political conservative , and has donated over US$ 256,000 to Republican Party political candidates .","Though Hindenburg ran during the second round of the elections as a non-party independent , he was generally regarded as the conservative candidate .",train,eng,0.41,0.8085240721702576
Why attempt to love someone that cannot reciprocate those feelings?,You are not the only person who has those feelings.,train,eng,0.41,0.8065369725227356
The original featuring Peter Sellers actually references the Pink Panther diamond.,Both the pink panther and the haunted mansion are rated pg-13,train,eng,0.41,0.8270115256309509
"@ZekeJMiller @Reince @SharonDay GOP plan to stop Trump? LOL Maybe they can put up loser candidates like Romney, McCain and Jeb!",@RSherman_25 Join Twitter Trump brigade #onethousandtweets to support message #MakeAmericaGreatAgain @realDonaldTrump,train,eng,0.41,0.8302724361419678
"On March 17 , 1995 Janet Reno ended the investigation .",Janet Wood Reno is the former Attorney General of the United States .,train,eng,0.41,0.8302487134933472
"Hey, me and my girlfriend are at the bar.","Hey, it's my girlfriend. That was seriously uncool.",train,eng,0.41,0.8662289977073669
I don't know exactly why is that...,I don't know what was previous knowledge or new to previous readers.,train,eng,0.41,0.8304152488708496
25% of Mexico has INVADED AMERICA - & CONTINUES to OCCUPY us yet POS #RINO phony #Jeb BLAMES #TRUMP for telling the TRUTH! -,@realDonaldTrump Stay the course! You can win! The USA needs your leadership and competence!,train,eng,0.41,0.815895676612854
"It's always sexy, funny, and light reading.","LITERAL ADDICTION gives Time Thief 4 1/2 Skulls and definitely recommends it if you're looking for something fresh, funny, sexy and new.",train,eng,0.41,0.8146809339523315
@Stuart1927 @GoodCounselNet Thank goodness politicians saw sense and recognised women's rights over their own bodies.,Well that's a win for women in Texas. Thank you SCOTUS! #texas,train,eng,0.41,0.8869357705116272
Is this about teaching Pop some lesson?,it was a lesson that reads:,train,eng,0.41,0.8193233013153076
THE DONALD & CARLEY - Perfect Together! - #Trump,Why is it wrong when Trump is stating facts about illegal immigrants??? He is 100% Right,train,eng,0.41,0.8195304870605469
A little girl in a green bathing suit is getting splashed in a water fountain.,A black and white dog is being soaked with a jet of water in a blue paddling pool.,train,eng,0.41,0.8301529884338379
"As a semi-independent state , the Principality existed from 1571 to 1711 .",Barisal was a semi-independent area in Mughal period .,train,eng,0.41,0.8310203552246094
Its main tributary is the Benue River .,"It straddles the Cibin River , a tributary of the river Olt .",train,eng,0.41,0.8218399286270142
"We played a good joke yesterday, did we not?",The biggest joke played on man is that size doesn't matter.,train,eng,0.41,0.8133920431137085
Scene 2 : Wozzeck and Marie are walking in the woods by a pond .,Scene 3 : A military parade passes by outside Marie 's room .,train,eng,0.41,0.8036380410194397
"@_Poli_Ana_ No, she's got the #BlackLivesMatter vote w/o even talking to them. Most blacks are brainwashed by @TheDemocrats","@LeahR77 @DrMartyFox > With continued #Obama's & @TheDemocrats Admin policymaking, #USA will become #Greece! #WakeUpAmerica #NJ",train,eng,0.41,0.8387140035629272
"Pregnancy is not a crisis. It's a gift. Whether they be wanted by you or someone else, no child is unwanted. #ChooseLife #Adoption","Justice Breyer et al think injections into arms of killers is heinous. No word on acidic saline executing unborn babies, however.",train,eng,0.41,0.8162890076637268
A trio of dancers twirling in white skirts.,The bands guitarist begins his solo on stage.,train,eng,0.41,0.7306962013244629
Basketball players practicing for their game.,People in coats are watching a game.,train,eng,0.41,0.8029436469078064
Two black women in fancy uniforms,Closeup of two women hugging each other,train,eng,0.41,0.8525909185409546
@m_lonz @LifeNewsHQ Captors have already been born and are no longer part of the body of a pregnant woman. That's the difference.,If it's getting old maybe you should stop calling embryos & fetuses babies.,train,eng,0.41,0.8533745408058167
I saw the classic from Australia.,"Any bar in Australia, and that is a guarantee.",train,eng,0.41,0.8398494720458984
"The Mandurah Railway Line is an interurban railway line , running through the south western suburbs of Perth , Western Australia .",The port city of Bunbury is the third largest city in Western Australia after Mandurah and Perth the state capital .,train,eng,0.41,0.8333249092102051
And another aspect that I never expect from Feehan is a MC club.,I am intrigued by this MC club though.,train,eng,0.41,0.8726920485496521
Little boy in red getting ready to kick soccer ball while other boy watches.,One soccer player in an orange uniform getting hit in the face by a ball kicked by a player in blue.,train,eng,0.41,0.8700966238975525
I can't believe my stupidity in starting a series that isn't complete yet.,I honestly can't decide if I like Trickery or Persuasion more.,train,eng,0.41,0.8096237182617188
I might have to find a copy and do a quick read through to fully enjoy the story as it was meant to be told.,This is definitely a bedtime story that one day I will share with my own children.,train,eng,0.41,0.8441162705421448
This is not her first time at the rodeo! @HillaryClinton doesn't care who likes her or not This woman is on a mission #Tough,@realDonaldTrump @WhoopiGoldberg @Univision #VoteForHillary @HillaryClinton isn't racist. A leader who demands #EqualityForAll,train,eng,0.41,0.8778558969497681
Children playing in water fountains that shoot up from the ground.,A man in black bathing trunks dives into water.,train,eng,0.41,0.7780503630638123
"Daphne decides that the boy that went back with her brother might be a good place to start, maybe he knows how to find him.",I'm not sure I completely understood Daphne but I liked her.,train,eng,0.41,0.8075193762779236
u may know that she's loving you by gestures.,some one else shes loving is around her mostly,train,eng,0.41,0.8483496308326721
A young child plays a musical instrument in front of another boy.,Five people looking up while holding musical instruments.,train,eng,0.41,0.8555397987365723
THE DONALD & CARLEY - Perfect Together! - #Trump,"@GOP If you can not debate Trump, you should not be running for president. #backurbase.",train,eng,0.41,0.8153836727142334
@Colin_McManus7 2016 is the first election I can vote in and I am proudly voting for @realDonaldTrump #trumpforpresident,Everything Donald Trump said was 100% true though.,train,eng,0.41,0.7997386455535889
It was my car which lead yesterday.,but yesterday you were racing with my car.,train,eng,0.41,0.9159971475601196
Maybe an inch and a half by a quarter inch?,Bring it in a quarter of an inch on the left.,train,eng,0.41,0.8903089165687561
It will also be used for driver and maintenance training and familiarisation .,Country Energy also is represented by a training and maintenance center .,train,eng,0.41,0.8664450645446777
link to the program's Web page URL,The rating was obtained from the Web page.,train,eng,0.41,0.8531705737113953
"With respect to him, the decision does not therefore need a statement of reasons.","accordingly, it was not necessary to justify the decision in relation to it.",train,eng,0.41,0.9333481192588806
"Eating junk food, talking about our feelings.",What's with all the baking and the junk food?,train,eng,0.41,0.8728207945823669
Two friends ride a bicycle.,Four children are playing together outside.,train,eng,0.41,0.7839335203170776
A little girl is walking down a path lined with large trees.,Two people with backpacks hike up a rocky dirt path next to a conifer tree.,train,eng,0.41,0.8294965624809265
"I AM A CROOK...and I like it, like it, yes I do #HillaryCampaignSlogan #WakeUpAmerica #StopHillary2016 #specialreport","Do we breathe & live or ignore & collectively succumb to toxins of political, ecological, unwanton oligards? #p2 #bernie2016",train,eng,0.41,0.842778205871582
@HillaryClinton The deceit hand? Thats a hand you know well. Right?,@MyOTRadventure Compassion the new frontier Hillary will go where she's never gone before She'll need a village & a committee,train,eng,0.41,0.803648054599762
I loved Dex and how he and Sloane bickered but I was confused by the world.,"He was a good team leader, dependable and loyal, but he carried a secret he couldn't share.",train,eng,0.41,0.8007901906967163
"The three jewels of Buddhism are the Buddha , the Dharma , and the Sangha .","In Buddhism , the first schism was set up by Devadatta , during Buddha 's life .",train,eng,0.41,0.8146188259124756
I highly recommend the phenomenally suspenseful hot and steamy Burn For Me by Cynthia Eden.,so glad Ms Eden has returned to the world of the supernatural.,train,eng,0.41,0.8393034338951111
Because Percy Jackson is absolutely awesome.,"The facts were right (mostly I guess) with side comments from Percy, which made it more engaging.",train,eng,0.41,0.8359407186508179
"#presidentialelection2016 Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump",Been slacking on my @realDonaldTrump retweets.. had some catching up to do .. #Trumpforpresident,train,eng,0.41,0.9034028053283691
"I wanted to know why Shiarra was being dragged into this, and the petty excuse just made my day!",As much as I want to strangle Shiarra I really like the other characters so I am sticking with it.,train,eng,0.41,0.8644835948944092
Already adored the Psy/Changeling series by N. Singh but this story is a really cute one!,"I liked the 2nd one 2nd best, actually, Sweet Dreams.",train,eng,0.41,0.815313994884491
#greta Trump is absolutely on fire right now! He is a good man with a great family. He is the medicine this country needs!,"@theblaze American ppl are prolife, anti #Obamacare, pro #bordersecurity pro traditional marriage. Where has that gotten us.",train,eng,0.41,0.8477122783660889
"And for the first time as a reader of this series, I felt a pull towards Riley and her character.","Anyway, things come to a head between Riley and the two sides to her soul.",train,eng,0.41,0.8827717304229736
The Zakarpattia Oblast has a total area of 12800 k and is located in the Carpathian Mountains region of western Ukraine .,"Situated in the Carpathian Mountains , Zakarpattia Oblast 's economy depends mostly on trans-border trade , vinery and forestry .",train,eng,0.41,0.8735873699188232
type in soaring eagle casino in the search bar on the yahoo homepage...i believe it is the first result,"In Yahoo.com's search bar, enter text ""Antonio Aguillar Biography"" and click on a search result.",train,eng,0.41,0.8629747629165649
A sunset scene with a mountain in the background and people walking across a walkway bridge.,A bunch of birds flying towards a building with an antenna in the background amid a beautiful sunset.,train,eng,0.41,0.856867790222168
Three toddlers sit amidst cut down foliage.,Three girls in winter coats are outside in a snowy forest.,train,eng,0.41,0.8519433736801147
@HillaryClinton is opening 10 more offices in Iowa this week. She's not playing around! #iacaucus,Leader of free world. Global navigating. Interacting with the international community. Beyond big crowds. Learned lesson.,train,eng,0.41,0.8088271021842957
"It made me feel bad for Raahosh, his naughty Khui had the bad taste in women!",They help give us both Liz and Raahosh perspective.,train,eng,0.41,0.7962065935134888
"Aitne , also known as , is a retrograde irregular satellite of Jupiter .","Eurydome , also known as , is a natural satellite of Jupiter .",train,eng,0.41,0.883818507194519
A Asian women rides a bike while wearing a respirator mask.,Two asian women wearing hats being pulled in a rickshaw by an asian male with a headband.,train,eng,0.41,0.8200019598007202
@philadper2014 @LouiseKatina Hillary's New Campaign slogan is: HILLARY - NOTHING TO HIDE BUT THE TRUTH! #tcot #WakeUpAmerica,Support #independent #BernieSanders because he's not a liar. #POTUS #libcrib #democrats #tlot #republicans #WakeUpAmerica,train,eng,0.41,0.8748300075531006
he looks me straight in the eye and calls me his ex-wife.,and then he held my hand and looked me straight in the eye.,train,eng,0.41,0.890739917755127
"A Black President,Healthcare 4 all, Marriage Equality...what's next?..a Woman President?!Damn RIGHT! #SCOTUS #MarriageEquality","Do we breathe & live or ignore & collectively succumb to toxins of political, ecological, unwanton oligards? #p2 #bernie2016",train,eng,0.41,0.8353592157363892
A yellow dog shaking off from a jump into a stream.,a dog jumps in the pool to get a chicken.,train,eng,0.41,0.8780866861343384
This is Connor and Meara's story.,This time Connor is in the spotlight.,train,eng,0.41,0.8760904669761658
The best is Aries and Torrent.,try a torrent website like isohunt.com,train,eng,0.41,0.8216373324394226
A blond child is laying on a branch of a tree in a green field.,Two dark-skinned parents look happily on their child in a park,train,eng,0.41,0.8005609512329102
Two children run through a sprinkler.,Four children are playing together outside.,train,eng,0.41,0.8264271020889282
"Do you ever have a car stolen? No, what?",did your car ever get away?,train,eng,0.41,0.8917237520217896
"The Resaca Confederate Cemetery was founded on October 25 , 1866 .",It was founded as the Syrian Protestant College by American missionary Daniel Bliss in 1866 .,train,eng,0.41,0.8097882866859436
Angelina Jolie sent her resume to me.,Angelina Jolie gives me a warm feeling.,train,eng,0.41,0.8917373418807983
Earth is going to lead a battle that defeats the sphere-builders.,the country will lead the battle to defeat Budovar Sfair.,train,eng,0.41,0.8758588433265686
Paradisaeidae is a family of the Passeri suborder .,The other suborder of Carnivora is Caniformia .,train,eng,0.41,0.8083349466323853
Men will love when you dress up.,wear a kinky bunny suit guys love it tell me what happened vol_fan_raybaby@yahoo.com,train,eng,0.41,0.8239551782608032
This weekend is the Hillary For America Weekend of Action & I hope you'll participate. -L #California,@HillaryClinton literally the greatest video I have ever seen.,train,eng,0.41,0.8402992486953735
Women in dresses leaning on a metal fence.,Two women compete in a martial arts contest.,train,eng,0.41,0.8313778042793274
The territorial capital of Nebraska was Omaha .,Nebraska 's Legislature is unusual in that it is unicameral and nonpartisan .,train,eng,0.41,0.7957218885421753
So unfortunate #thebriefcase @cbs. Adoption isn't always the answer.,@HomunculusLoikm @SawyerAndrew @BryanBroome1 @jstines3 Bad analogy. The current time frame for abortion is the best compromise,train,eng,0.41,0.8324168920516968
I'm enthralled and can't wait to begin the final book.,"I can't believe I'm about to say this, but I flipping loved Froi.",train,eng,0.41,0.8387058973312378
"The contest was extended once more , and Germain began work on her third attempt .",The Sophie Germain prime and Crater Germain on Venus are named after her .,train,eng,0.41,0.7626391053199768
Inform her it's incorrect. That you noticed that the preparatory children don't like her.,I wanted to inform you that uninnocent21s answer is incorrect.,train,eng,0.41,0.8313270807266235
"I knew it wasn't beforehand, but many are under the impression that it is a YA book.","I make time for every book, and I've loved them all.",train,eng,0.41,0.790717363357544
"#presidentialelection2016 Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump","Following his recent comments about immigrants, do you think Donald Trump's business interests will suffer? #Trump",train,eng,0.41,0.8334919214248657
Her hair was a different color when she came back into the store.,not if that's the color you dye your hair!,train,eng,0.41,0.8179720044136047
A vote against Trump is a vote against America,"just want to give a big #shoutout to my #1 man these days, @realDonaldTrump Get 'er done, big guy!!",train,eng,0.41,0.7996964454650879
I got lost in the tales again once I got done with the women.,I kept a journal of who's who and still got blurry-eyed by the end.,train,eng,0.41,0.8460409641265869
The characters are fun and the adventure is plentiful.,There are also plenty of ethical dilemmas here as well.,train,eng,0.41,0.7845032215118408
Prosper has a demon living inside of him because of a broken deal that an ancestor made 300 years ago.,The Dreadful Tale of Prosper Redding is perfect for this time of year!,train,eng,0.41,0.8337457776069641
"Outside the United States , the single was released commercially in Australia and the United Kingdom .","In Australia , as in the United Kingdom , Constable is the lowest rank in most police services .",train,eng,0.41,0.7857969999313354
Year 1818 was a common year starting on Thursday of the Gregorian Calendar .,1950 was a common year starting on Sunday of the Gregorian calendar .,train,eng,0.41,0.8080992102622986
Perhaps you can start something in the concession area of WalMart.,Perhaps you could ask her to start over and go on another date.,train,eng,0.41,0.8300801515579224
Following the N212/Ingenieur Enschedeweg in a southern direction until the N198/Geestdorp.,Following the Tuurluur in a southern direction going into the Papekopperdijk.,train,eng,0.41,0.8836776614189148
Santa Maria or Sta .,"As of 2007 census , Sta .",train,eng,0.41,0.8324894905090332
"Neryn lives in Alban, where magic is banned by King Keldec.",Can Neryn learn to use her gift to help turn the tides in the war and bring the much awaited peace to Alban?,train,eng,0.41,0.8570061326026917
A browser game is a video game that is played on a web browser .,Charon is a web browser for the Inferno operating system .,train,eng,0.41,0.8375935554504395
and if start seeing a lot of things thru their eyes too.,start seeing other women.that should work for good,train,eng,0.41,0.8271610736846924
A male tennis player pumps his fist.,A basketball player is dribbling the ball.,train,eng,0.41,0.8167420625686646
being condiderate of her feelings and needs,Some men cannot express their feelings.,train,eng,0.41,0.8177751898765564
"She meets Quinn Donegan, the tattooed to-hot-to-be-real Irishman, who has a different girl on his arm and in his bed every night.",For some men this might seem like a dream come true and for Quinn it is until he meets and falls for Ryann!,train,eng,0.41,0.8362289667129517
"Essentially,"" the D.H.C. concluded, ""bokanovskification consists of a series of arrests of development.","basically,"" the L.P. concluded, ""the boon is a serial stop-stop.",train,eng,0.41,0.8825198411941528
@LaureneDiCillo @NBCNews @dl34l And why are major media outlets not exposing Hillary's blatant flip flopping on this issue.,@frodofied SO? THt will NEVER erase their support of DOMA & silence on #LGBT #LGBTQ rights until it is politically aventageous.,train,eng,0.41,0.8344308137893677
@m_lonz @LifeNewsHQ Captors have already been born and are no longer part of the body of a pregnant woman. That's the difference.,Do to others whatever you would have them do to you. This is the law and the prophets. Mt 7:12 #ProLifeYouth,train,eng,0.41,0.8265738487243652
Part one is Yuki solving the mystery of the intense odor of the most recent lost soul she needs to help.,The first part was generally enjoyable.,train,eng,0.41,0.7324810028076172
@BruvverEccles @Telegraph @David_Cameron I despair! I want grandchildren or are they a 'luxury item' #Catholic,everyone should have the right to make their own reproductive choices & recieve safe medical treatment without stigma.,train,eng,0.41,0.7963398098945618
Brendan James Fraser is a Canadian-American actor of stage and screen .,"Christopher Eccleston is an English stage , film and television actor .",train,eng,0.41,0.8024548292160034
What a great day to argue the benefits of making abortion legal,I refuse to stop praying for an end to abortion.,train,eng,0.41,0.851509153842926
U know what isn't funny? Male politicians deciding what women should do with their body's.,@davebachman34 @Clifford1462 @msnbc you know what massively reduces abortion? Sex education and access to birth control.,train,eng,0.41,0.8065182566642761
A line is beginning to form at The Cheap Tab Shop.,A group of natives are gathered at a native shop.,train,eng,0.41,0.8588247895240784
indicate the method [33] of implementation.,Indicate the groups that the attendee belongs to,train,eng,0.41,0.8109609484672546
This series is so good so far that I'm afraid to read them...because then I can't look forward to reading them.,A good book if you want pure entertainment and love fantasy/action.,train,eng,0.41,0.8019008636474609
Senior Pakistani Taliban commander captured in Afghanistan,Pakistan Shi'ites demand protection from militants,train,eng,0.41,0.8198509216308594
A fair amount of the paranormal books I read have heroines like Eveny who are absolutely clingy to their love interests.,"There's also a group of kids(think Mean Girls) headed by Chloe and Peregrine, who take an immediate interest in Eveny.",train,eng,0.41,0.8498347401618958
@NBCNews Stop promoting @HillaryClinton. She is a liar. Just like her impeached husband. #WakeUpAmerica,@readyforHRC Support encourage #HillaryClinton president #UnitedStates world is success of women in world,train,eng,0.41,0.8664544224739075
type in soaring eagle casino in the search bar on the yahoo homepage...i believe it is the first result,"Log in to the Google website, then type the question you want to ask into the search engine bar.",train,eng,0.41,0.8486582040786743
A girl with her hair flying up from her head poses on a skateboard,"A woman, playing music, smiles as a crowd surrounds her.",train,eng,0.41,0.803849458694458
Some Bitches be scared to kill a little cockroach in their house but quick to kill a baby...,The answer to a #crisis #pregnancy is to eliminate the crisis not the #child.youthgen,train,eng,0.41,0.8430495262145996
call on the phone and ask her out,So just call around and ask.,train,eng,0.41,0.8937135338783264
@docdebags @awelab1956 @BuzzFeedAndrew @BuzzFeedNews It will. Otherwise we're guaranteed GOP in control of all 3 branches.,@HillaryClinton is opening 10 more offices in Iowa this week. She's not playing around! #iacaucus,train,eng,0.41,0.7974711656570435
Saw a bit of @HillaryClinton 's speech & I was proud to hear her plans for policy improvements in our justice system. Thanks!,"@RNRNewYork in her #Emails @HillaryClinton said there were ""a couple of Facebooks"" on her :) #TotalIncompetence #RedNationRising",train,eng,0.41,0.8422247171401978
@tommyhubb @JonathanHoenig Obama sees everything through an anti-Colonial prism.Every move he makes degrades our nation.#Cashinin,"@realDonaldTrump You have our backs, and we have yours. You have my vote. Boycotting anyone who opposes your patriotism. We need",train,eng,0.41,0.8558716177940369
The day that love will truly win is the day that the injustice known as abortion is abolished. #AllLivesMatter,"Put into perspective: Est 32,000 rape-caused pregnancies/yr = 22x less than est 730,000 abortions/yr. #StrawMan #WarOnWomen",train,eng,0.41,0.8468838930130005
Those two are just so great together.,"Because how loveable the characters are, how Anna Banks has created inhuman beings more human than anyone of us out there.",train,eng,0.41,0.7772948741912842
"In my opinion, it was similar to the film Closer.","In my opinion, many people have been through something similar.",train,eng,0.41,0.84428471326828
