Text1,Text2,Type,Lang,Scores
There's a young lady in the beach doing yoga.,An older gentleman in a brown cap looking at a younger gentleman's arm.,train,eng,0.22
A bicyclist catches some air,a guy and a girl running.,train,eng,0.22
Two men maneuvering pieces of wood on top of a vehicle.,A daschund with an open mouth appears to bark at a bubble making machine in the grass.,train,eng,0.22
you have a nice town.,Town after town fell to him.,train,eng,0.22
A boy playing in water with a football.,A crane lifts into the air above the water.,train,eng,0.22
jen and jacque are worse off with burns and they wont wake.,I love what Jacque and Fane had here.,train,eng,0.22
My mom used to listen to Karen Carpenter often.,My girlfriend used to get jealous quite often.,train,eng,0.22
"Send pictures, play something online, such as yahoo games or role playing games.",Go online to Walden Books. They have a lot of nice books with pictures depicting positions and such.,train,eng,0.22
My last information showed the longest audio tape to be 110 minutes.,Do you have the information I requested last week?,train,eng,0.22
And she lies about absolutely everything until she absolutely cannot anymore.,"This book has been everything I dreamed of, and more!",train,eng,0.22
@Xxoax @HillaryClinton @MaryMorientes @BarackObama The whole #world is supporting you.,RT @FutureTXLeader: Who in #CorpusChristi is ready for #MarcoRubio in #2016 #Hooks #CC #Texas #TX #361 #KeepTexasRed #GOP #Tea...,train,eng,0.22
Two basketball players play in a game.,Group of participants walk behind float in Asian parade.,train,eng,0.22
@tooprettyclub Are you OK with #GOP males telling you what you can and can't do with your own body?,"@NYCanegirl the premeditated taking of an innocent human life is 1st degree murder, and you know it.",train,eng,0.22
Three friends have fun bicycling.,Three dogs playing in a yard together.,train,eng,0.22
The woman is smoking.,The man is walking.,train,eng,0.22
Lovrin 515 * RO 1002 T M (6),Serrano * ES 4705 D m (2),train,eng,0.22
A brown dog jumping in the air,A little girl swimming in a pool.,train,eng,0.22
Kids in costumes watch a movie on an iMac.,The kid is in the water holding on to a floating tube.,train,eng,0.22
My only complaint is not enough Armani/Jin time!,It would've pushed people to take action (which I guess does anyway because they don't know he's not dead?,train,eng,0.22
The daemonn can do anything BUT cannot touch his victim directly or leave the house.,Nevertheless Barker creats and changed it to give his own touch.,train,eng,0.22
As late as 2013 #HillaryClinton opposed marriage equality.,@randyprine @fabiaceae They know they're going to lose to HRC so they keep trying!,train,eng,0.22
@McAndles1 @OldRowRumors Hoobastank goes against Christ. Shame,@DaGodfather907 @dare6626 Hope the rotten SOB don't choke :(,train,eng,0.22
updating the phone's software and applications from the phone,"if you want to phone, there's phones.",train,eng,0.22
I bet Leslie Knope would be so happy about,"@LeahR77 @DrMartyFox > With continued #Obama's & @TheDemocrats Admin policymaking, #USA will become #Greece! #WakeUpAmerica #NJ",train,eng,0.22
"A big thanks to Goodman who gave several shout-outs to Sookie, and a double thank you for giving us Callie.","I understand there's going to be a sequel, which is just as well since the ending of this gave me no closure.",train,eng,0.22
I wonder who did that?,Makes you wonder about music.,train,eng,0.22
@Ehsan_Kassim It's time we make the Housewares department great again,@FNC_Ladies_Rule @MichelleFields @JonathanHoenig @JessicaTarlov Can't wait to get home and see the episode.,train,eng,0.22
The River Tone is about 21 m long .,"It was released on November 21 , 1995 through A&M Records .",train,eng,0.22
"A masked steel worker in orange works on a piece of metal, yellow sparks flying.",A guy with a long blue dress like clothing piece with blue socks and sandals on walking into a concrete building.,train,eng,0.22
Trump for prez he couldn't do any worse so give him a shot,.@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House.,train,eng,0.22
my girlfriend liked it cause she got a new wardrobe out of the deal.,"Good luck girl, 'cause this stuff is tough to deal with.",train,eng,0.22
It's been over an hour and no word from Travis.,For an hour or so. I asked around about Goldie.,train,eng,0.22
A Dog lying on a blanket at the end of a small boat.,A man under an umbrella is taking pictures in the snow.,train,eng,0.22
i don't know if i've ever seen the cartoon show but i used to read the books.,its definitely a male...cos ive seen a cartoon where JERRY falls in love with a female mouse....,train,eng,0.22
A baseball player throwing a pitch.,soccer players stand on the field.,train,eng,0.22
A male golfer tries to hit the golf ball out of a sand trap.,Two hockey players are fighting with a referee watches.,train,eng,0.22
"There are individuals who possess extraordinary memory ability, sometimes called eidetic memory.",There are many arguments for why this is not the case.,train,eng,0.22
"A man pulls a rope that is attached to a floating boat marked ""Avocet Market Drayton"".",A little boy in black shorts and no shirt is holding on to handles as he flies down a rope.,train,eng,0.22
Hutch_USA Follow ===> sarah_brannick <=== if you want to #FreeAmir #FreeAmirNow #PJNET,Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment,train,eng,0.22
Wife: How about some similar to mine?,They are husband and wife.,train,eng,0.22
A group of four boys plays with mud in the water and grass.,Two dogs run down a dirt path in the forest.,train,eng,0.22
People wait to board a white train with green trim as others get off.,"A child swims in a stream, whilst other children wait to jump off a rock.",train,eng,0.22
"An Asian lady is sitting on the ground among wooden rubble, holding a stick.","A man smokes a cigarette and watches a slender Asian carrying a basket of green, mossy plants on their head.",train,eng,0.22
Palestinian President Receives Jordanian Foreign Minister,Palestinian arrested for sexually harassing young girls,train,eng,0.22
@JVER1 @tgradous @LVNancy I blame her death on the @potus he is directly responsible. He is pathetic. If i were her dad....,"@ZekeJMiller @Reince @SharonDay GOP plan to stop Trump? LOL Maybe they can put up loser candidates like Romney, McCain and Jeb!",train,eng,0.22
John McCain is sitting and talking to two other people.,"Many people busily working, watching a presentation, or talking to each other.",train,eng,0.22
Jeb Bush Why Don't U Stand Up For Yr Mexican Family & Denounce Trump. Have You No Pride or Balls? #DumpTrump #BoycottTrump,@DaGodfather907 @dare6626 Hope the rotten SOB don't choke :(,train,eng,0.22
And it puts everyone she knows and loves in danger.,Do you have omniscient control over everyone and all the shitty decisions they make?,train,eng,0.22
Nobody this prepared for anything of this wanted.,"Yeah, nobody wins with Boardwalk.",train,eng,0.22
a man in a leather jacket holding heart balloons next to a woman walking,The girl in the purple jacket is laying in a hole that has been dug out of the snow.,train,eng,0.22
like i really need to walk past a bunch of aborted babies to get into the union. get out of my peripheral,RT @rxchelredekop: Consenting to sex is not consenting to being pregnant!!! Like!!! No!!!!,train,eng,0.22
A young girl wearing a pink shirt walks through an open door.,A toddler is opening the oven door of a pink play kitchen set.,train,eng,0.22
a skateboarder jumps over a set of stairs.,A little girl swimming in a pool.,train,eng,0.22
A man is standing on a mountaintop blowing a long wooden horn.,A long-haired black and brown dog runs through the grass.,train,eng,0.22
It's the on/off button for Rachel Caine (the off button being when you take breaks or finish the book).,Are you and Ms. Rachel going to get married?,train,eng,0.22
"And if you think all that might prove to be a bit too much to handle for Alex, you clearly haven't met her yet!",Disliked: -The character development and description I had no idea what Alex physically looked like.,train,eng,0.22
@Jeff_Nichols_82 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life in Utopia,"Take it easy Ed, #BernieSanders is a side show. Democrats are having some fun before getting back to reality in Nov 2016.",train,eng,0.22
A child going down an inflatable slide.,A person is balancing an object on his head.,train,eng,0.22
Four children in uniforms stand in front of palm trees.,Three sailboats float on calm water in front of hills and palm trees.,train,eng,0.22
Will she be able to help the rebellion?,"Ahmed was well liked, mostly loved, by his people (those in the Rebellion, and those not in the Rebellion).",train,eng,0.22
She redeemed herself somewhat at the end.,"Flory is a young and uninitiated fairy, fending for herself with many lessons to learn about selflessness, empathy, determination, and courage.",train,eng,0.22
Soccer players wearing black shirts standing along the goal line.,A girl bowling in a dark bowling alley while a movie is projected at the end of the lanes.,train,eng,0.22
snow was falling behind the window.,I'm taking the bunk next to the window.,train,eng,0.22
The bird flu crisis hit the weakened company hard.,Lady Death hit her gate pretty hard.,train,eng,0.22
"So glad @ChrisChristie has announced his candidacy - fits right in with all the other ""qualifies"" republicans on the list.","@WoodenThreat @ProudInfidel33 ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol",train,eng,0.22
It's a free country. Freedom includes freedom of choice.,"@LogicOfLife7 Premise is wrong. Nothing on earth has a ""right"" to use someone's body w/out consent. #rapeculture",train,eng,0.22
"i LOOOVE THEM LAST WEEK WENT TO THE SHOW IN HOUSTON,TX.","Yes, I did receive it last week.",train,eng,0.22
Eight heads in a duffle bag.,Put money in your bag.,train,eng,0.22
A dog is bringing a little soccer ball onto a human bed.,A little boy in green overalls throws up his hands in from behind the shiny restaurant table.,train,eng,0.22
That sounds like a fair price.,That sounds something like the movie.,train,eng,0.22
The Ingeles's out for an hour yet.,an hour before the others.,train,eng,0.22
what happens to the starlight near the sun?,"And after it rains, the sun comes out.",train,eng,0.22
The French will host a formal dinner at their embassy for the President.,"We'll have dinner at our favorite French restaurant, OK?",train,eng,0.22
"This is definitely a bit trashy, but really a good read in spite of that fact.",But the pacing really drags it down.,train,eng,0.22
I hope she finds her voice as a woman and becomes better at standing up for what she wants.,Wendy falls in love with a boy named Finn and meets her real parents and finds out that she is a princess.,train,eng,0.22
@thehill @greta @realDonaldTrump Now You Know The Left Is Afraid Of A Executive Over Politicians < Hang In There Donald,@ac360 @ananavarro @andersoncooper #AC360 HECK YEAH BOMB THE CRAP OUT OF #IRAQ & SEND IN PROS TO RUN OIL FIELDS! @realDonaldTrump,train,eng,0.22
A man practicing his driving swing.,Two old women enjoying at a gathering.,train,eng,0.22
A man takes a picture of colorful art painted on a wall.,Two woman ride a bicycle together as they pass a painting on a wall.,train,eng,0.22
A person climbs up a snowy hill while their dog follows.,A little blond boy and a young woman in jeans walk through a plaza.,train,eng,0.22
Tricia's got a way with words.,The only negative in this story: Simon got on my nerves a little bit.,train,eng,0.22
"@SoCaliMilitia1 @CzarofFreedom That God for global warming melting icebergs, never gets prosecuted for her crimes #Liberals",I got it! I got it! A Hillary accomplishment! She's managed to stay out of prison despite a 30-year crime spree. #tcot #ocra,train,eng,0.22
Man with rickshaw bike full of ripe bananas.,A man with a beer closes his eyes to smile.,train,eng,0.22
good for Birthday Girl Rachel Morgan.,Such a good book and a good series.,train,eng,0.22
The original featuring Peter Sellers actually references the Pink Panther diamond.,"I won a big pink panther from one once, but no luck since!",train,eng,0.22
MT @ProLifePolitics- Senate vote on SC Pain-Capable Unborn Child Protection Act could come as early as Wed. Contact your senators!,@oXGodLessXo @Canuckle_head @Atheist_Roo @atxbantamathy /gags Dat face.,train,eng,0.21
Jikji consists of two volumes .,The interlude consists of a silent film .,train,eng,0.2
Two children or possibly young adults fixing their bikes.,The children take turns riding the minerature pony with an adult supervising.,train,eng,0.2
"Denial. It works for Hillary, why not the Mayor of #Baltimore. #DemocratLiesMatter","96 commit cards collected for Hillary in Greenville, SC so far! #FellowsSC",train,eng,0.2
This is the boy that picked up the box.,I love fall out boy.,train,eng,0.2
I didn't like Adam in Unravel Me and now well now I know I really really really don't like him.,"Well, I need Ignite me now.",train,eng,0.2
His brother Rudolf was a physiologist and anatomist .,Rudolf was a textile manufacturer in Hechingen .,train,eng,0.2
A lady jumping on a trampoline with rolling mountains in the background.,The dog carries a stick and jumps over a log in the woods.,train,eng,0.2
A woman is riding on a horse.,A man is shooting off guns.,train,eng,0.19
@GeorgeTakei One of them might even be named #ClarenceThomas. #ApologizeTakei,Get the truth from Trump! @realDonaldTrump,train,eng,0.19
A little girl is playing tennis or bad-mitten.,A man rakes the dirt while a woman follows behind.,train,eng,0.19
A chimpanzee is hurting a woman.,A man is driving a car.,train,eng,0.19
I never win stuff like that.,Freddy would win against Jason.,train,eng,0.19
I pick flowers and fish.,CZJ is my second pick.,train,eng,0.19
A woman wearing ear protection is firing a gun at an indoor shooting range.,A young child wearing a black hat has an acoustic guitar on his lap.,train,eng,0.19
Throw tradition out of the window... girls ask guys out more and more every day.,"When there is traffic outside, throw them at your window.",train,eng,0.19
Man standing inside a room under construction.,A group of people at an outdoor fruit market,train,eng,0.19
A man speaks about a saw.,deleon speaking into a mic.,train,eng,0.19
This isn't an English sentence.,It isn't the same as before.,train,eng,0.19
"On Pancake Day , pancake races are held in villages and towns across the United Kingdom .",It also contained the towns of Majitha and Jandiala Guru ; and 373 villages .,train,eng,0.19
My work here is done.,have you done this behind his back?,train,eng,0.19
I experienced the same thing last year.,"Unlike last year, this year's contestants are not that good.",train,eng,0.19
"I'm killing my baby tonight, I don't care if it's wrong or right!","One, we are pro life Two, a little bit louder Three, I still can't hear you Four, more more moreYouth",train,eng,0.19
They're just older women trying to have some adult fun.,I am annoyed with men trying to be someone they're not.,train,eng,0.19
OH REALLY here is my e-mail address tupac_lover_00@yahoo.com,It is the backstreet boys fan club e-mail address.,train,eng,0.19
"Ample parking day or night, people spouting, Howdy neighbor!",chloroform and zipties.. late night mall parking garages..,train,eng,0.19
Romance: I have to say I'm not the biggest fan of love triangles.,My opinion of a few characters however have morphed somewhat.,train,eng,0.19
In fact one of them I was pretty happy I was correct.,But really all in all I enjoyed my experience with One Past Midnight.,train,eng,0.19
"Eleanor's own powers continue to grow, but the more she deals in black magic the closer she is to losing herself.","But there are also selfish ones, and his was definitely more on the selfish side.",train,eng,0.19
.@gailtalk @trscoop Of course it was. She'll be handled every step of the way. They can't risk her unscripted.,.@DavidLimbaugh - agree put it back.. But I have a feeling it won't go away.. It will keep coming back!,train,eng,0.19
The ending wasn't a cliffhanger but I can't say I felt very satisfied by it.,I can't wait for this book to be released.,train,eng,0.19
A man is fishing on an inlet in the ocean.,Two women appear to sleep at a table in a diner.,train,eng,0.19
@realDonaldTrump I like Mexicans who come to US legally. #IStandWithTrump,Coming soon to @NBCSports - Muslim sports cid:7D8CC0C5-9231-4700-B63E-8CB2E0C1EC6C/22C1780B-C578-4ECD-9BE0-CA3901D4EAF6,train,eng,0.19
Medical staff looks on as a medical procedure takes place on a video monitor.,A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.,train,eng,0.19
He taught at the Universidade do Estado do Rio de Janeiro and Universidade Federal Fluminense .,"Saludos Amigos premiered in Rio de Janeiro on August 24 , 1942 .",train,eng,0.19
A man picking up stones at the beach.,A man is working on steel.,train,eng,0.19
"All in all, a great read.",She kicked all ass and was willing to make the ultimate sacrifice if need be.,train,eng,0.19
"In 2001 the census recorded a permanent population of 19,423 .",They officially recorded their debut album The Unraveling on Fat Wreck Chords in 2001 .,train,eng,0.19
A Mexican man going to dig up the dirt for plants in the field.,"Young boy rinsing himself off, while taking a bath.",train,eng,0.19
"yeah, but the fire moved forward.",The proprietor moved it to the counter.,train,eng,0.19
Fisher's voice comes down from the corridor.,"And after it rains, the sun comes out.",train,eng,0.19
I just couldn't love this book no matter how I tried.,"He's just a rough and tumble guy who's spent his life as a soldier, and it's made one heck of a man of him.",train,eng,0.19
"Hrant Dink was a Turkish-Armenian editor , journalist and columnist .",It was established on 29 October 1947 by the Turkish Jewish journalist Avram Leyon .,train,eng,0.19
The ending left me with opened jaw.,Now this brings me onto the plot.,train,eng,0.19
"After thousands of years , the once-necessary cecum has degraded to what we see today , with the appendix .","However , there is no particular reason to identify this with what we know today as `` mass-energy '' .",train,eng,0.19
Its alot easier for couples to split.,Split Milk by Jelly fish.,train,eng,0.19
A man in a blue shirt is standing on the beach and throwing a stone.,a latino teacher wearing a green shirt is trying to throw a dart in his classroom.,train,eng,0.19
People in costumes are entertaining at an amusement park.,A man in a woman within a house happily socializing.,train,eng,0.19
Dear #BristolPalin. STOP. Just FUCKING STOP. You have choices. It's called #abortion. Take it or leave it but quit whining. #fem2,They know what's best for their safety.,train,eng,0.19
You're combover looks like the cupacabra Guillermo @jimmykimmel so funny,"TY Michael @ASavageNation ""I'd do anything to help him; he's right, he's telling the truth"" @realDonaldTrump #BoycottMacys",train,eng,0.19
It's like the battered wife syndrome.,What about his wife Hillary?,train,eng,0.19
Grim Adventures of Billy and Mandy,at this moment by billy vera and the beaters.,train,eng,0.19
A man is playing a guitar.,A man is cleaning a cd.,train,eng,0.19
Yemen: Fighting in north kills over 120,Janet Yellen: Five things you might not know,train,eng,0.19
"Late that evening , the storm began to slowly intensify once again .","In April , they then return to the north through the west , once again crossing the Mara River .",train,eng,0.19
Why did you ask this question three times?,I have watched Marry Boscoe and E.R. three times.,train,eng,0.19
are the symtoms of falling out of love.,her face looks like it's falling to her neck.,train,eng,0.19
"Frost chooses, she can open a new ""chapter"" in their lives.",We also all remember how awkward Cat could make a situation when she opened her mouth.,train,eng,0.19
Because reading the same old song and dance with different characters just get's redundant.,"Sadly, my imagination and reality weren't even on the same planet.",train,eng,0.19
"Just so its not lost, today ISIS executed 74 children. To make it worse, our President was tweeting about basketball.","If you live in a Trump building, congratulations on that decision",train,eng,0.19
A strap across her belly monitored the contractions.,"So, is that a monitored or a recorded system?",train,eng,0.19
@politico is there anybody more sue happy than this fool? #trump #lawsuitabuse,". @SenatorKitchen @nbc how deeply offensive such comments are not only to Mexican-Americans, but Latino Americans in general.",train,eng,0.19
Cruz-- Perry 2016 @tedcruz @GovernorPerry It's the only win-win choice,"I support Bernie on account USA needs a new direction but, if he loses in primary ,I'll support Hillary Clinton. #Sanders2016",train,eng,0.19
I wonder who did that?,He is full of wonder.,train,eng,0.19
"think of it,most guys these days r afraid of a bit of competition.",Is that what they are calling them these days?,train,eng,0.19
An asian woman and man are trying to cut a fish so it can be cooked.,"a guy, with a lot of drinks in front of him, trying to be brave, what ever he is trying to do.",train,eng,0.19
An older woman adding spices to food she is preparing.,An old man talks to a younger woman wearing a name tag.,train,eng,0.19
A small girl puts confetti on a smiling woman's hair.,A man is putting a tattoo on a another's man upper back.,train,eng,0.19
hey @Macys a whole bunch of us are going to sever ties with you. #Macys,"Anyone who is against @realDonaldTrump 4 president, has no clue of his success and the potential of greatness he can do 4 us.",train,eng,0.19
"@MarioLopezExtra @nbc fires Trump, but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO",Hutch_USA Follow ===> sarah_brannick <=== if you want to #FreeAmir #FreeAmirNow #PJNET,train,eng,0.19
A family moved in this house after that event...,The proprietor moved it to the counter.,train,eng,0.19
I'm taking a little break with Mystic Falls.,break into the night when the city falls asleep.,train,eng,0.19
"I liked him from the start, but in this book I seriously fallen in love with him.","To that end, she became a fallen angel.",train,eng,0.19
"A journal simply makes for poor storytelling when the main character isn't a good storyteller, jumps around awkwardly, etc.",Some times the descriptions of fear etc.,train,eng,0.19
Purchase an advertisement in the newspaper for a bassist.,Purchase the dvd from Best Buy.,train,eng,0.19
@thehill @greta @realDonaldTrump Now You Know The Left Is Afraid Of A Executive Over Politicians < Hang In There Donald,"@mailandguardian There goes the Latino vote, Donald Dumb!!",train,eng,0.19
A woman practicing shooting her gun at a shooting range.,The artist chisels away at the large stone.,train,eng,0.19
"Like the nurse before him, the youth blanched.",Making the Youth Guarantee a reality,train,eng,0.19
@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary,RT @FutureTXLeader: Are y'all #TexasTech #RedRaiders ready for #MarcoRubio in #2016 #TTU #TexasTechUniversity #Rubio #Texas #N...,train,eng,0.19
A little boy in an apron helps his mother cook.,A man rakes the dirt while a woman follows behind.,train,eng,0.19
Thank you @Macys! You are and will continue to be my favorite store! Bye bye #DoucheBag,@realDonaldTrump keep it up Mr Trump-when the Dems and Repubs are attacking-you know your doing it right! #MakeAmericaGreatAgain,train,eng,0.19
"Three dogs on the beach, one has it's mouth open.",Three old men have their hands over each other's at a grand opening.,train,eng,0.19
Chipotle employees shouldn't complain Hillary left nothing in the tip jar. They're lucky she didn't dip in and help herself,"@vendettajane Thanks for the follow, may God bless you and your family ! #freeallfour",train,eng,0.19
I'll read and enjoy pretty much anything about a group of friends at boarding school so this was no exception.,"This gorgeous world gifts Gemma and her friends with an intoxicating power, one which comes with both dangers and responsibilities.",train,eng,0.19
"In April of 1987 , on the way to a performance in Fukuoka , Misora suddenly collapsed .","The Aristocats was re-released to theaters on December 19 , 1981 and April 10 , 1987 .",train,eng,0.19
"The series was a slow start for me, but I enjoyed it.",I hope that my children enjoy this book as well as this whole series.,train,eng,0.19
A big group of people are enjoying a public event.,A young boy jumps for joy in front of a rock formation.,train,eng,0.19
Location of the property of the legal person:,"Like dominos, and each person affected affects the next,",train,eng,0.19
People aren't 'pro-life' they're 'pro-birth'. When a mother can't provide what happens then?,They know what's best for their safety.,train,eng,0.19
Todd McCarthy of Variety wrote : `` Fey is a delight to watch throughout .,"Throughout the series , Rowling wrote Harry Potter as a gifted wizard apprentice .",train,eng,0.19
A woman in a brown UPS uniform is handling packages in front of people who are sitting down outside.,"Young brunette mother is sitting down, holding a baby who is chewing on a multicolored teething ring.",train,eng,0.19
"Another Reagan the last thing we need! The #FatherofAmnesty rewarded 3m criminals, displaced 1.9m in workforce! @DaGodfather907","LOOKS LIKE LIBREALS OUR AFTER @Paula_Deen AGAIN,, THANK GOD FOR @realDonaldTrump",train,eng,0.19
to get at the issues quickly and succinctly.,"Quickly, my suckling, out of your clothes.",train,eng,0.19
A basket player is scoring.,soccer players stand on the field.,train,eng,0.19
"There was a model who was a generous tipper, typically leaving five to ten dollars.","It's about five to ten dollars for wooden, but if you wanna go all out, buy ahead.",train,eng,0.19
Put on a movie or some music.,Put the light bulb in.,train,eng,0.19
What more can you ask for in a paranormal romance.,"So, do you want to know what I thought about it?",train,eng,0.19
Three ice hockey players in black play outside.,Three cricket players in mid game.,train,eng,0.19
"Its text differs , however , from the written versions prepared by Lincoln before and after his speech .",Principia Discordia is a Discordian religious text written by Greg Hill and Kerry Thornley .,train,eng,0.19
The little girl is being swung around by her arms.,Two woman hiking stop to admire the view.,train,eng,0.19
Human rights are women's rights and women's rights are human rights. - Hillary Clinton,LOOKING FORWARD TO #CUBA EXPANDING MAJOR EXPORTS OF PICK UP TRUCKS CONVERTED INTO RAFTS!! SO EXCITING! #tcot,train,eng,0.19
A woman with a scared look on her face preparing for roller coaster ride.,Pairs of people are kayaking down a peaceful river surrounded by large trees and bushed.,train,eng,0.19
"The United States of America, especially on the White House, especially on Bush.",That item is redeemable at almost any store in the United States of America.,train,eng,0.19
"neither the Iranians nor Europe, nor America.","And he ain't into the grid, neither.",train,eng,0.19
A woman playing trains with a child.,A small child opening up Christmas presents.,train,eng,0.19
and only an hour before Connor's pickup.,For an hour or so. I asked around about Goldie.,train,eng,0.19
A brown dog is nibbling at the white dog's face.,An older gentleman in a brown cap looking at a younger gentleman's arm.,train,eng,0.19
Great to see my mentor @RepSusanDavis at #DCinSD. And she's right we have the most qualified candidate ever running for POTUS.,@petefrt That woman is so corrupt she can't even have a truthful thought.,train,eng,0.19
The less said about him by me the better (you need to meet him for yourself!,"Don't let me analysis fool you, like an oyster it's always the sand I obsess over.",train,eng,0.19
Thank goodness for twitter btw because the publisher did an awful job of promoting this book!,"I read the majority of this book lying in bed, with a fever, doped outta my head on cold and flu medications.",train,eng,0.19
If she's accepting the gifts...watch out.,My sister. She's obsessed about him.,train,eng,0.19
Someone wearing black shoes and a black jacket lays down at the top of the stairs.,The girl in the purple jacket is laying in a hole that has been dug out of the snow.,train,eng,0.19
I never win stuff like that.,And their new stuff isn't good.,train,eng,0.19
Go to www.pandora.com and join the revolution.,It's like I'm going to join the Marines.,train,eng,0.19
"Hillary Clinton keeps sending me emails, and when I try to unsubscribe, I get an error message. THIS IS CANCER","@redsteeze: Broke, as in Dead broke"" Elitist Nauseating Get behind the rope Hateful Arrogant Z Ideologue Someone else add Z.",train,eng,0.19
Start thinking about your new wife,Don't you start thinking that way.,train,eng,0.19
a good web site is www.wholenote.com,she has a whole web site of her.,train,eng,0.19
I really liked the different paranormal aspects that Aimee used in this book and she was able to incorporate in in a fantastic way!,"Maybe I didn't read enough of the book to like it but come on, 500 pages of this?!?!?",train,eng,0.19
How can you not be affectionate for once?,-Nineteen The development of the characters in this book were off my springing likelihood but I admire how Chubs is concerned for her companions.,train,eng,0.19
a black and white staffordshire terrier has his paw on large branch,A man in a white shirt has his index finger raised.,train,eng,0.19
"@JohnFugelsang I'm not surprised murder is legal in Israel, should be illegal in civilized countries like USA",Abortion laws should be designed to make it harder to get an abortion. Abortion is murder!,train,eng,0.19
Young woman in a costume appears to be participating in a parade or dance.,A man examining what appears to be food in a kitchen.,train,eng,0.19
"Two men in a city working at a construction site, with tall buildings behind them.","A man in a superhero costume, complete with mask and cape, posing in a public venue with pedestrians around.",train,eng,0.19
A skateboarder approaches a ramp.,A dog leaps over a barrier.,train,eng,0.19
A girl stands on two thin logs and photographs buffalo across a river.,A brown and white corgi trailing a leash chasing sheep.,train,eng,0.19
"Nelly sings it, but its called hot in here.",she is cute and hot and sings like an angel,train,eng,0.19
a little boy trying to climb up.,Two young children are hugging.,train,eng,0.19
Children playing with a remote controlled car in a road.,Man stands on distant cliff overlooking a green valley.,train,eng,0.19
I liked them but I wouldn't say I love them just yet.,"Moyer's San Francisco never came alive for me, and the flat impressions of her characters provided the bearest glimpses of the world around them.",train,eng,0.19
It's all of these things and more.,"This is a review, after all.",train,eng,0.19
"Maybe I just like a stronger female lead, but I do not think that I am going to read the other two in this series.",like velvet covering hardened lava (This was the point when I decided maybe the author really needs to get laid.),train,eng,0.19
A gale is a very strong wind .,The shell of the abalone is exceptionally strong .,train,eng,0.19
the kids just came out with the teacher.,The teacher came and withdrew her statement.,train,eng,0.19
"In all fairness, she does have understandable reasons for being messed up.","I am a die-hard Bones fan, but I have to say Spade won me over big time.",train,eng,0.19
An old worker is weaving at his textile machine.,Several construction workers are looking at an escalator,train,eng,0.19
Man tired sleeping on bench.,A cat bites a human's nose.,train,eng,0.19
"The album was also more experimental than previous releases , with some songs incorporating Middle-Eastern or Indian music .","The LAC is 4,057-km long and traverses three areas of northern Indian states : western , middle and eastern .",train,eng,0.19
I have seen just about every episode of CSI Las Vegas.,You are going to Las Vegas for the first time?,train,eng,0.19
My girlfriend listens to chemical romance.,"No, the Chemical Brothers definitely will.",train,eng,0.19
Your mother was not feeling well and sat on the T.V.,"no, its been syndicated to cable and sat tv in other cities",train,eng,0.19
An older man is leaving a store with a refreshing drink.,People out enjoying drinks and conversation while sitting at an outdoor restaurant patio.,train,eng,0.19
A brunette woman taking a big bite of some food.,Black Labrador biting a brown dogs neck.,train,eng,0.19
The band and Nelson produced the track .,The track is 250 metres long .,train,eng,0.19
"@gerfingerpoken2 he made a careless mistake, she deliberately broke many laws & still lies about it.",@HillaryClinton Yes I can and will.,train,eng,0.19
One of my main issues however is the number of male characters in the whole series.,"For me, it was a big plus because she didn't leave town, call her Marshall buddies, and abandon all the characters I've grown to love.",train,eng,0.19
buy some velour or velvet and drape from the ceiling over spa or bed,The man in the bed next to you wants to buy your slippers!!!,train,eng,0.19
the darkness pushed open his eyes like a damp floss.,"After removing the padlock, she pushed the gate open.",train,eng,0.19
Its alot easier for couples to split.,It's about friendship with alot of dancing and drama.,train,eng,0.19
Two young boys playing in a dirt top playground.,A young woman in a green tank top walking her dog down a dirt road.,train,eng,0.19
He'll definitely have you cheering him on.,Not that you want to - it's a gripping read.,train,eng,0.19
Three dogs play by a lake.,Three people sitting down at a small table.,train,eng,0.19
"With the death of Pollux,Tyndareus had no heir.",This is about a cover-up of an accidental death.,train,eng,0.19
"no...but hey, thanks for another music recomendation!","Hey, thanks for the great stereotyping, ladies.",train,eng,0.19
Each time I cried like a baby!,This is Brit and Kevin before the baby.,train,eng,0.19
"if the chest is touched, the red flag will be lifted.",he lifted his nose out of his chest when he hit the street.,train,eng,0.19
"Before Black Eyed Peas , will .",Its underwings are yellowish with black speckles .,train,eng,0.17
a child is sitting next to an animal on the ground.,Two men carrying their daughter on their shoulders.,train,eng,0.17
Please use for freight lines .,"During the night , both armies consolidated their lines .",train,eng,0.17
never seen it but the book is one of my favorites in the series,I've seen CSI:Miami series and I haven't seen him drinking,train,eng,0.17
Foreign men outside the cafe watching others with stern faces.,Three young girls are embracing each other and seem happy.,train,eng,0.17
A woman holds a fork to a man's throat sitting at a table with her.,A young man takes a closeup picture of a building's red window exterior.,train,eng,0.17
